,banglawords
19539,"['গবেষণামূলক', 'অভিজ্ঞতাজনিত', 'পরীক্ষামূলক', 'ভূয়োদর্শনলব্ধ', 'প্রয়োগিক', 'প্রয়োগজ', 'অপ্রায়োগিক', 'প্রায়োগিক']"
19540,['সাম্রাজ্য']
19541,[]
19542,"['জোরের সহিত', 'সজোরে']"
19543,"['সতেজ', 'উদ্ব্যক্ত', 'জোরাল']"
19544,"['জোর দেত্তয়া', 'জোরাল করা', 'গুরুত্ব আরোপ করা']"
19545,"['ঝোঁক', 'বলের সহিত উচ্চারণ', 'স্বরসঙ্ঘাত', 'জোর', 'বৈশিষ্ট্য', 'জিগির', 'উদ্ব্যক্তি']"
19546,"['ঝোঁক', 'বলের সহিত উচ্চারণ', 'স্বরসঙ্ঘাত', 'জোর', 'বৈশিষ্ট্য', 'জিগির', 'উদ্ব্যক্তি']"
19547,"['সম্রাট', 'রাজাধিরাজ', 'সম্রাট্', 'অধিরাজ', 'অধীশ্বর', 'রাজরাজেশ্বর', 'পৃথিবীপতি', 'ক্ষৌণীশ']"
19548,['সহানুভূতি']
19549,[]
19550,"['আবেগপ্রবণ', 'আবেগপূর্ণ', 'মানসিক চাঁচল্য', 'আবেগ সংক্রান্ত']"
19551,[]
19552,"['আবেগপ্রবণ', 'আবেগপূর্ণ', 'আবেগময়', 'আবেগ সংক্রান্ত', 'অনুভূতি সংক্রান্ত', 'ভাবোদ্দীপক', 'ভাবপ্রবণ']"
19553,"['আবেগ', 'অনুভূতি', 'চেতনা', 'মানসিক চাঁচল্য', 'মানসিক আবেগ', 'বোধশক্তি', 'চেতন', 'হোশ', 'জ্ঞান', 'ভাব']"
19554,[]
19555,"['নিক্ষেপ করা', 'প্রেরণ করা', 'নির্গত করা', 'মারা', 'বিকীর্ণ করা', 'বলা', 'নি:সরণ করা']"
19556,"['নির্গমন', 'নির্গতকরণ', 'প্রেরণ', 'নিক্ষেপ', 'কথন', 'নিক্ষিপ্ত বস্তু', 'নির্গত বস্তু', 'উক্তি', 'ধাতুক্ষয়']"
19557,"['গুপ্তচর', 'চর', 'গূঢ়সংবাদবাহক', 'গোয়েন্দা']"
19558,[]
19559,['আমির']
19560,['মাত্রাতিরিক্তভাবে']
19561,"['বিশিষ্ট', 'বিখ্যাত', 'মহান', 'উচ্চপদস্থ', 'সম্ভ্রান্ত', 'উচ্চ', 'উন্নত']"
19562,"['প্রবাস', 'প্রবসন', 'বাসস্থান পরিবর্তন', 'বাসাবদল', 'দেশান্তরগমন']"
19563,"['বাসস্থান বদলান', 'স্থানপরিবর্তন করা', 'বাসা বদলান', 'দেশান্তরী হত্তয়া', 'দেশান্তরী করান']"
19564,"['দেশান্তরী', 'বাস্তুত্যাগী', 'প্রবসিত ব্যক্তি', 'অন্যদেশবাসী', 'প্রবসিত']"
19565,[]
19566,['সম্মান ও উপাধিসহ অবসরপ্রাপ্ত']
19567,"['উত্থানশীল', 'অত্যাবশ্যক', 'জরুরি', 'নির্গমনশীল', 'উদ্ভূত হইতেছে এমন', 'আকস্মিক', 'গুপ্তাবস্থা হইতে পুন:প্রকাশমান']"
19568,[]
19569,['ইমার্জেন্সি ব্রেক']
19570,"['জরুরি অবস্থা', 'আকস্মিক ঘটনা', 'জরুরি প্রয়োজন', 'অত্যয়', 'সঙ্কট', 'রিজার্ভ']"
19571,"['উত্থান', 'উদ্ভব', 'আবির্ভাব', 'নির্গমন', 'উপস্থিতি', 'প্রকাশ', 'উত্পত্তি', 'উদয়', 'অভু্যদয়', 'বহির্গমন', 'নির্গম', 'নিষ্কাশ', 'নিস্তরণ']"
19572,"['নিষ্ক্রমণ করা', 'উত্থান করা', 'নির্গত হত্তয়া', 'উত্থিত হত্তয়া', 'উদ্ভূত হত্তয়া', 'স্পষ্ট হয়ে ত্তঠা', 'সুস্পষ্ট হয়ে ত্তঠা', 'হাজির হত্তয়া', 'বাহির হত্তয়া', 'ফাঁস হয়ে যাত্তয়া', 'দেখা দেত্তয়া', 'দৃষি্টগোচর হত্তয়া', 'উদিত হত্তয়া', 'অভু্যদিত হত্তয়া']"
19573,"['পান্না-সংক্রান্ত', 'পান্না', 'চুনী', 'চুনি', 'হরিতাশ্ম']"
19574,[]
19575,"['আদিম', 'আদি', 'প্রাথমিক', 'ভ্রূণসংক্রান্ত', 'ভ্রূণাবস্থিত', 'বিকশিত হয় নাই এমন', 'মৌলিক']"
19576,"['আদি', 'ভ্রূণাবস্থিত', 'ভ্রূণসংক্রান্ত', 'প্রাথমিক', 'বিকশিত হয় নাই এমন', 'আদিম', 'ভ্রূণ', 'ভ্রুণ', 'অঙ্কুর', 'বীজ', 'কিছুর আরম্ভ', 'কিছুর সূত্রপাত', 'গর্ভস্থ সন্তান', 'আদিমাবস্থা', 'গর্ভ', 'মূল']"
19577,"['কলহলিপ্ত করান', 'বিজড়িত করা', 'ঝামেলায় জড়ান', 'জড়িত করা', 'বিবৃত করা', 'পেঁচান']"
19578,"['সূচিকর্ম', 'সূচিশিল্প', 'অলঙ্কার', 'কারচুপি', 'সুন্দর সূচিকর্ম', 'কশিদা', 'চিকণের কাজ']"
19579,"['অলঙ্কৃত করা', 'অতিরঁজিত করা', 'সূচী দ্বারা বুটি তোলা', 'সূচী দ্বারা চিকণ তোলা']"
19580,"['আলিঙ্গন করা', 'পরস্পর আলিঙ্গন করা', 'অন্তর্ভুক্ত করা', 'সাগ্রহে গ্রহণ করা', 'স্বেচ্ছায় গ্রহণ করা', 'মানিয়া লত্তয়া', 'অবলম্বন করা', 'সর্বান্ত:করণে গ্রহণ করা', 'জাপটান', 'বন্ধন করা', 'জাপটাজাপটি করা', 'জড়ান', 'আঁকড়ান', 'আলিঙ্গন', 'বন্ধন', 'কোলাকুলি', 'কোল', 'আশ্লেষ', 'পরিরম্ভ', 'বন্ধ', 'অভিষঙ্গ']"
19581,"['বুটা দ্বারা অঙ্কিত করা', 'অলঙ্কারদ্বারা সজ্জিত করা', 'বুটি দিয়া খচিত করা', 'ক্ষোদিত করা', 'খোদাই করা']"
19582,"['বুটা দ্বারা অঙ্কিত করা', 'অলঙ্কারদ্বারা সজ্জিত করা', 'বুটি দিয়া খচিত করা', 'ক্ষোদিত করা', 'খোদাই করা']"
19583,"['দেহযুক্ত করা', 'দেহী করা', 'সংগঠিত করা', 'অঙ্গীভূত করা', 'মূর্ত করা', 'বাস্তব রূপ দান করা', 'শরীরী করা', 'স্পষ্টভাবে প্রকাশ করা', 'মূর্তিদান করা', 'একত্র করা', 'অন্তর্ভুক্ত করা', 'সুস্পষ্ট রূপ দেত্তয়া']"
19584,"['প্রতিমূর্তি', 'মূর্তকরণ', 'রুপায়ণ', 'প্রতিরুপ', 'সন্নিবেশ', 'মূর্তপ্রকাশ', 'মূর্তরূপ']"
19585,"['প্রতীক দ্বারা প্রকাশ করা', 'প্রতীকরূপে প্রকাশ করা', 'প্রতীক দ্বারা চিহ্নিত করা', 'প্রতীক', 'প্রতীকচিহ্ন', 'নিদর্শন']"
19586,"['গুণকীর্তন করা', 'উত্সব করা', 'প্রশংসা করা', 'কুলমর্যাদাচিহৃদ্বারা চিত্রিত করা', 'সুখ্যাতি করা', 'স্তুতিবাদ করা', 'তারিফ করা', 'মূর্তিদ্বারা পরিশোভিত করা']"
19587,[]
19588,"['তিক্ত করা', 'তিক্ত্বিরক্ত করা', 'অসুখজনক করা', 'তীব্রতরভাবে বিরোধিতা করা']"
19589,[]
19590,"['আত্মসাৎ', 'তছরুপ', 'গচ্ছিত ধন অপহরণ', 'আত্মসাত্করণ', 'তসরূফ', 'ধনাপহরণ']"
19591,"['তসরূফ করা', 'আত্মসাৎ করা', 'অধিকার করা', 'হস্তগত করা', 'দখল করা', 'খরচ করা', 'ব্যয় করা', 'অপব্যয় করা', 'অপচয় করা', 'টাকা মারা', 'টাকা ভাঙ্গান', 'ধনাপহরণ করা']"
19592,"['জ্বলন্ত অঙ্গার', 'লাল গরম ছাই', 'গন্গনে ছাই', 'জ্বলন্ত আগুন']"
19593,"['মণ্ডন', 'প্রসাধন', 'ভূষণ', 'অলঙ্করণ', 'নিছনি', 'সুশোভিতকরণ', 'সৌন্দয্র্য']"
19594,"['অলঙ্কৃত করা', 'সজ্জিত করা', 'সাজান', 'সুন্দর রুপদান করা', 'সুশোভিত করা', 'শোভা করা']"
19595,"['বসান', 'নিহিত করা', 'দৃঢ়ভাবে নিহিত করা', 'স্থাপিত করা', 'লাগান', 'স্থাপন করা', 'সংস্থাপন করা', 'খচিত করা', 'শায়িত করা', 'শোয়ান']"
19596,[]
19597,"['দূতাবাস', 'রাষ্ট্রদূতস্থান', 'দৌত্য', 'দৌত্যকার্যে নিযুক্ত ব্যক্তি', 'দৌত্যকার্য', 'দূতগণ', 'দূতগণের বাসভবন']"
19598,"['বিমূঢ়তা', 'বিহ্বলতা', 'মানসিক বিহ্বলতা', 'থতমত', 'বিব্রত অবস্থা', 'দেনাগ্রস্ত অবস্থা', 'বিব্রত করণ', 'বিবৃতকারী বস্তু', 'বিব্রত হইবার কারণ', 'বিভ্রান্তি', 'হতবুদ্ধিতা', 'অভিভব', 'অভিভাব', 'বৈক্লব্য', 'নাকাল']"
19599,[]
19600,"['হতবুদ্ধিকর', 'বিজড়িত করে এমন', 'দায়গ্রস্ত করে এমন', 'বিহ্বল করে এমন']"
19601,"['বিভ্রান্ত', 'কাঁচুমাচু', 'অপ্রস্তুত', 'বিমূঢ়', 'অপ্রতিভ', 'হতবুদ্ধি', 'বিহ্বল', 'অপদস্থ', 'নাস্তানাবুদ', 'নাকাল', 'অভিভূত', 'অসামাল']"
19602,"['বিব্রত করা', 'বিজড়িত করা', 'নাকাল করা', 'হতবুদ্ধি করা', 'দায়গ্রস্ত করা', 'বিহ্বল করা']"
19603,"['জাহাজের তুলা', 'নিযুক্ত করা', 'জাহাজের মধ্যে তুলা', 'জাহাজের তোলা', 'জাহাজের ত্তঠা', 'নিযুক্ত হত্তয়া', 'ব্যবসায় প্রভৃতি শুরু করা', 'জাহাজ স্থাপিত করা', 'নৌকাতে স্থাপিত করা', 'কোন কায্র্যে প্রবৃত্ত হত্তয়া', 'জাহাজের আরোহণ করা', 'জাহাজে চড়া', 'নৌকারোহণ করা', 'জাহাজের উঠা', 'জাহাজের মধ্যে তোলা', 'ধরা', 'পোতারূঢ করা']"
19604,"['নিষেধাজ্ঞা জারি করা', 'নিষেধ করা', 'বারণ করা', 'যাইতে নিষেধ করা', 'নিষেধাজ্ঞা', 'বারণ', 'নিষেধ', 'বাধা', 'আরোধ']"
19605,"['ভেড়ি', 'বাঁধ', 'প্রাকার', 'জাঙ্গাল', 'বাঁধ-নির্মাণ']"
19606,"['সুগন্ধি বস্তুদ্বারা রক্ষা করা', 'সুবাসিত করা', 'যত্নসহকারে রক্ষা করা']"
19607,"['বন্ধনমুক্তি', 'স্বাধীনতা', 'উদ্ধার', 'বন্ধনমোচন', 'শৃঙ্খল-মোচন']"
19608,"['শাসন হইতে মুক্ত করা', 'বন্ধন হইতে মূক্ত করা', 'মুক্ত করা', 'উদ্ধার করা']"
19609,"['শাসন হইতে মুক্ত করা', 'বন্ধন হইতে মূক্ত করা', 'মুক্ত করা', 'উদ্ধার করা']"
19610,"['উদ্গত হত্তয়া', 'প্রবাহিত হত্তয়া', 'উদ্ভূত হত্তয়া', 'নির্গত হত্তয়া', 'উত্পন্ন হত্তয়া', 'বিচ্ছুরিত হত্তয়া', 'নি:সৃত হত্তয়া']"
19611,['ইমেল']
19612,"['কৃশ', 'ক্ষীণকায়', 'ম্লান', 'কৃশকায়', 'অতিশয় কৃশতাপ্রাপ্ত', 'ক্ষয়াপ্রাপ্ত', 'ক্ষয়িত', 'অপচিত', 'কাহিল']"
19613,[]
19614,"['পরী', 'বেঁটে মানবাকার নূতবিশেষ', 'বেঁটে লোক', 'দুষ্ট লোক', 'পাজী লোক']"
19615,"['অধরা', 'প্রতারণাপূর্ণ', 'ফাঁকা', 'ছলনাময়', 'মনে পড়ে না এমন', 'কৌশলে পরিহার করে এমন', 'কৌশলে পলায়ন করে এমন']"
19616,"['পালান', 'এড়ান', 'পলায়ন করা', 'বিফল করা', 'ব্যর্থ করা', 'কৌশলে এড়ান', 'কৌশলে পরিহার করা']"
19617,"['স্পষ্ট করা', 'বিশদ করা', 'ব্যাখ্যা করা', 'বিস্তারিতরূপে বর্ণনা করা']"
19618,"['অন্যত্র', 'অন্য কোথাত্ত', 'অপরত্র']"
19619,"['অন্যথায়', 'আর', 'নতুবা', 'নচেৎ', 'অধিকন্তু', 'আরত্ত', 'তদ্ভিন্ন', 'নহিলে', 'নয়ত', 'নয়']"
19620,[]
19621,"['বলিয়ে', 'বাক্যবাগীশ', 'বাক্পটু', 'অলঙ্কারপূর্ণ', 'পঁচমুখ']"
19622,"['বাগ্মিতা', 'বাক্পটুতা', 'অলঙ্কারশাস্ত্র']"
19623,['গোপনে পলায়ন']
19624,"['পালিয়ে যাত্তয়া', 'গোপনে পলায়ন করা']"
19625,"['দীর্ঘায়ত', 'সম্প্রসারিত']"
19626,"['দীর্ঘতর করা', 'দীর্ঘতর হত্তয়া', 'প্রসারিত করা', 'প্রসারিত হত্তয়া', 'সম্প্রসারিত', 'দীর্ঘায়ত']"
19627,['বেদারুজাতীয় বৃক্ষবিশেষ']
19628,"['উপবৃত্তাকার', 'ঊহ্য', 'ডিম্বাকার', 'উপবৃত্তসংক্রান্ত', 'শব্দ ঊহ্য আছে এমন']"
19629,['হরিণবিশেষ']
19630,[]
19631,[]
19632,"['সেরা অংশ', 'বাছাই-করা অংশ']"
19633,"['বর্জন', 'বাদ', 'বাছাই', 'অপনয়ন', 'নিষ্কর্ষণ', 'অপনয়', 'অপনোদন']"
19634,"['বাছা', 'নিষ্কাশন করা', 'এড়ান', 'পরিহার করা', 'দূর করা', 'বাদ দেত্তয়া', 'পরিত্যাগ করা', 'অপসারিত করা', 'বিবেচনার যোগ্য না করা', 'অপনোদন করা']"
19635,"['উপযুক্ত', 'মনোনীত হইবার যোগ্য', 'যোগ্যতাসম্পন্ন', 'নির্বাচিত হইবার যোগ্য', 'বাঁছনীয়']"
19636,"['বাঁছনীয়তা', 'নির্বাচিত হইবার যোগ্যতা']"
19637,"['বাহির করা', 'প্রকাশ করা', 'টানিয়া বাহির করা', 'সিদ্ধান্ত করা']"
19638,"['ভৌতিক', 'বামন', 'শিশু']"
19639,"['পরী', 'বামন', 'বেঁটে মানবাকার নূতবিশেষ', 'বেঁটে লোক', 'দুষ্ট লোক', 'পাজী লোক', 'চাতুরীপূর্ণ লোক']"
19640,['একাদশ']
19641,"['একাদশ', 'এগার']"
19642,"['লিফট', 'লিফ্ট্', 'কপিকল', 'উত্তোলক ব্যক্তি', 'উত্তোলক বস্তু', 'উত্তোলক যন্ত্র', 'উত্তোলন']"
19643,"['টিলা', 'উচ্চতা', 'উদারতা', 'উচ্চপদ', 'ঔদার্য', 'উন্নতি', 'উন্নতিসাধন', 'উন্নয়ন', 'উচ্চ স্থান', 'উচ্চ ভূমি', 'ঊর্ধ্বতা', 'অধিরোহ', 'উত্থান', 'উত্থিতি']"
19644,"['চড়ান', 'উন্নয়নসাধন করা', 'মন উন্নত করা', 'স্ফীত করা', 'উঁচু করা', 'উন্নতি করা', 'বড় করা', 'মনোভাব উন্নত করা', 'উপরে তোলা', 'উত্তোলন করা']"
19645,"['হাতি', 'হস্তী', 'গজ', 'দ্বিপ', 'মাতঙ্গ', 'নাগ', 'করেণু', 'দন্তাবল', 'দ্বিরদ', 'পিল', 'বারণ']"
19646,"['আবহাত্তয়া', 'প্রকৃতির শক্তি', 'শাস্ত্রের প্রাথমিক তত্ত্ব']"
19647,[]
19648,"['প্রাথমিক', 'চতুর্ভূতের যে-কোনটি সংক্রান্ত', 'ভৌতিক', 'মৌলিক', 'অবিমিশ্রিত', 'নিদানসংক্রান্ত']"
19649,"['আধিদৈবিক', 'প্রাথমিক', 'প্রাকৃতিক শক্তিসংক্রান্ত', 'ভৌতিক', 'আবহাত্তয়া-সংক্রান্ত', 'ভৌত', 'আধিভৌতিক']"
19650,"['উপাদান', 'মূলসূত্র', 'আদিকারণ', 'নিদান', 'অপরিহার্য অংশ', 'কোন পদার্থের আসল প্রভাব', 'কোন পদার্থের আসল গুণ', 'কোন প্রাণীর আসল প্রভাব', 'কোন প্রাণীর আসল গুণ', 'পদার্থ', 'মৌল', 'আকাশ', 'নভ', 'ব্যোম', 'ধাতু', 'অঙ্গ']"
19651,"['বিষাদসঙ্গীত', 'অন্ত্যেষ্টি গাথা', 'শোকসূচক গান']"
19652,[]
19653,"['মার্জিত', 'সুরুচিপূর্ণ', 'সুরুচিসম্মত', 'সৌষ্ঠবপূর্ণ', 'সুষ্ঠু', 'ঠাম', 'পরিচ্ছন্ন', 'সংস্কৃত', 'বেশভূষায় আড়ম্বরপূর্ণ', 'পরিচ্ছদবিলাসী', 'চোস্ত', 'সুন্দর', 'শোভন', 'চমত্কার']"
19654,"['কমনীয়তা', 'লালিত্য', 'সুরুচিপূর্ণতা', 'চারুতা', 'চমত্কারিত্ব', 'মার্জিত ভাব', 'সৌষ্ঠব', 'পরিচ্ছন্নতা', 'বেশভূষায় আড়ম্বর', 'সৌন্দর্য', 'শোভা', 'চারুত্ব']"
19655,['বিদ্যুতিন-সংক্রান্ত পদার্থবিদ্যা']
19656,[]
19657,[]
19658,"['বৈদ্যুতিন', 'বিদ্যুতিন-সংক্রান্ত']"
19659,"['ইলেক্ট্রন', 'পরমাণু', 'বিদ্যুতিন', 'বিদ্যুত্-পরমাণু', 'তড়িত্-অণু']"
19660,['তড়িদ্বিশ্লেষণ']
19661,"['বিদ্যুদ্বাহক', 'বিজলী-তারের প্রান্ত']"
19662,['তড়িতাহত হয়ে মৃত্যু']
19663,['তড়িত-প্রবাহের সাহায্যে প্রাণ বিনাশ করা']
19664,"['বৈদ্যুতীকরণ করা', 'বিদ্যুৎ সঁচার করা', 'বিদ্যুত্পূর্ণ করা', 'চমকিত করা', 'উত্তেজিত করা', 'বিদ্যুত্প্রবাহ সঁচারিত করা', 'বিদ্যুত্প্রবাহ প্রয়োগ করা']"
19665,"['বৈদ্যুতীকরণ করা', 'বিদ্যুৎ সঁচার করা', 'বিদ্যুত্পূর্ণ করা', 'চমকিত করা', 'উত্তেজিত করা', 'বিদ্যুত্প্রবাহ সঁচারিত করা', 'বিদ্যুত্প্রবাহ প্রয়োগ করা']"
19666,[]
19667,[]
19668,"['বিদ্যুৎ', 'বিজলী', 'তড়িৎ', 'বিদ্যুত্-বিজ্ঞান', 'বৈদ্যুতিক শক্তি', 'তাড়িত শক্তি', 'ইলেকট্রি', 'বিজলি']"
19669,"['তাড়িতী', 'তড়িত্তত্ত্ববিৎ', 'বিদ্যুত্-সম্বন্ধে পণ্ডিত', 'বিদ্যুত্-মিস্ত্রি']"
19670,[]
19671,"['বৈদ্যুতিক', 'বিদ্যুত্-সংক্রান্ত', 'বিদ্যুত্-সঁচারিত', 'তাড়িত', 'ইলেকট্রি', 'রোমাঁচকর']"
19672,"['বৈদ্যুতিক', 'বিদ্যুত্-সংক্রান্ত', 'বিদ্যুত্-সঁচারিত', 'তাড়িত', 'ইলেকট্রি', 'রোমাঁচকর']"
19673,"['নির্বাচকমণ্ডলী', 'মনোনয়নকর্তার মর্যাদা', 'মনোনয়নকর্তার এলাকা']"
19674,[]
19675,"['নির্বাচনী', 'নির্বাচন সংক্রান্ত', 'নির্বাচক সংক্রান্ত']"
19676,"['ঐচ্ছিক', 'নির্বাচক', 'নির্বাচনে নিযুক্ত', 'নির্বাচনের অধিকারযুক্ত', 'মনোনয়ন-সংক্রান্ত', 'মনোনয়নকর']"
19677,"['নির্বাচন', 'স্বেচ্ছায় প্রকাশ', 'স্বাধীন মত', 'ভোট']"
19678,"['নির্বাচিত ব্যক্তি', 'নির্বাচিত করা', 'বাছা', 'পছন্দ করা', 'বাছিয়া লত্তয়া', 'মনোনীত করা', 'নির্বাচিত', 'পছন্দ', 'চয়িত', 'মনোনীত']"
19679,"['জ্যেষ্ঠ', 'প্রথমজাত', 'বৃদ্ধতম', 'অগ্রি', 'অগ্রি়']"
19680,['গুরুজন']
19681,"['বৃদ্ধ', 'প্রবীণ', 'প্রৌঢ়']"
19682,"['গুরুজন', 'বয়োজ্যেষ্ঠ ব্যক্তি', 'পূর্বপুরুষ', 'আইন-সভার সদস্য', 'ঠাকুর', 'ফুলগাছবিশেষ', 'অগ্রজ', 'জ্যেষ্ঠ', 'পূর্বজ', 'বয়োজ্যেষ্ঠ']"
19683,"['চলাফেরার পক্ষে পর্যাপ্ত জায়গা', 'কাজকর্মের পক্ষে পর্যাপ্ত জায়গা', 'স্বাধীনতা ত্ত সুবিধা']"
19684,"['কনুই দিয়া ধাক্কা দেত্তয়া', 'অন্যকে ঠেলিয়া অগ্রসর হত্তয়া', 'কনুই দ্বারা ধাক্কা মারা', 'ঠেলাঠেলি করা', 'কনুই দিয়া গুন্তান', 'ধাক্কাধাক্কি করা', 'কনুই', 'মোড়', 'বাঁক']"
19685,"['উল্লাস', 'গর্ব', 'মহোল্লাস', 'গর্বস্ফীত-ভাব', 'বিজয়-গব্র্ব']"
19686,"['গর্বিত', 'পরমোল্লসিত', 'বিজয়-গব্র্বে স্ফীত']"
19687,"['স্থিতিস্থাপকতা', 'নমনীয়তা']"
19688,"['স্থিতিস্থাপক দড়ি', 'স্থিতিস্থাপক ফিতা', 'প্রাণবন্ত', 'স্থিতিস্থাপক', 'প্রফুল্ল', 'লাফানে', 'প্রাণচঁচল', 'প্রফুল্লিত', 'নমনীয়']"
19689,"['বহা', 'চলা', 'বহিয়া যাত্তয়া', 'অতিবাহিত হত্তয়া', 'কাটিয়া যাত্তয়া', 'অতিক্রান্ত হত্তয়া', 'ঘুচা', 'গোঁয়ান']"
19690,"['বিবরণাদি', 'উন্নতিসাধন', 'বিবরণ দিয়া বদ্র্ধন', 'বিবরণ ইত্যাদি যোগকরণ', 'যোগ করা জিনিস']"
19691,['বিস্তারিতভাবে']
19692,"['সম্প্রসারিত করা', 'সুসম্পন্ন করা', 'শ্রমবলে উত্পাদন করা', 'বিশদ করা', 'শ্রম দ্বারা উত্পন্ন করা', 'উন্নত করা', 'সুসম্পন্ন', 'বিশদ', 'সম্প্রসারিত', 'শ্রমবলে উত্পাদিত', 'বিশদীকৃত', 'জটিল', 'পরিশ্রমসিদ্ধ', 'সবিস্তার']"
19693,"['অধিকন্তু', 'ত্ত', 'আরত্ত']"
19694,"['উচ্ছেদ', 'উৎসাদন', 'নিক্ষেপ', 'বমি', 'উদ্গার', 'বমন', 'নির্গম', 'উদ্গিরণ', 'উদ্বমন', 'দূরীভূতকরণ', 'বহিষ্করণ', 'বহিষ্কার']"
19695,"['নির্গত করা', 'দূরীভূত করা', 'নিক্ষেপ করা', 'উদ্গিরণ করা', 'ছুড়িয়া ফেলা', 'বাহির করিয়া দেত্তয়া', 'উত্সাদিত করা', 'উচ্ছেদ করা', 'বিতাড়িত করা', 'প্রক্ষেপ করা', 'দূর করা', 'বহিষ্কার করা', 'রহিত করা', 'অধিকারচ্যুত করা', 'উঠান', 'উত্ক্ষাত করা', 'উত্সাদন করা', 'উদ্গার তোলা']"
19696,"['উল্লাসধ্বনি', 'নির্গম', 'নির্গত পদার্থ', 'আকস্মিক উক্তি', 'হঠাৎ চীত্কার', 'হঠাৎ চেঁচান', 'বিস্মযোক্তি', 'খেদোক্তি']"
19697,"['নির্গত করা', 'হঠাৎ বলিয়া ফেলা', 'চেঁচিয়ে উঠা', 'সহর্ষে বলে ত্তঠা', 'সংক্ষেপে বলে ত্তঠা', 'হঠাৎ উচ্চাবণ করা', 'হঠাৎ চেঁচান']"
19698,"['উভয়ের যে-কোনটি', 'উভয়ের যে-কেহ', 'হয় এ নয় ত্ত', 'দুইয়ের মধ্যে এক', 'অন্যতর', 'উভয়ের প্রত্যেক', 'উভয়েই', 'একতর', 'ত্ত', 'আরত্ত', 'অধিকন্তু']"
19699,"['অশীতি', 'আশি']"
19700,"['অশীতিতম সংখ্যা', 'অশীতিতম']"
19701,"['অষ্টক', 'অষ্টম', 'আট', 'অষ্ট', 'অষ্টম ভাগ']"
19702,"['অষ্টদশ', 'অষ্টদশ সংখ্যা']"
19703,"['আঠার', 'অষ্টাদশ']"
19704,"['আট', 'অষ্ট']"
19705,['প্রশ্ন বা বিস্ময়সূচক']
19706,[]
19707,"['মর্মান্তিক', 'গুরুতর', 'বিখ্যাত', 'বিশিষ্ট', 'কুখ্যাত', 'শোচনীয়']"
19708,"['অহংবাদী', 'আত্মম্ভরি']"
19709,"['আত্মশ্লাঘী', 'আত্মাভিমানী ব্যক্তি', 'আত্মশ্লাঘী ব্যক্তি', 'অস্মিতাপূর্ণ ব্যক্তি', 'অহংভাবপূর্ণ ব্যক্তি', 'আত্মশ্লাঘাকারী ব্যক্তি']"
19710,"['অস্মিতা', 'আত্মপ্রাধান্য', 'আত্মশ্লাঘা', 'অভিমান', 'আত্মম্ভরিতা', 'অহং', 'আত্মাভিমান', 'আত্ম-জাহির']"
19711,"['অহংভাবপূর্ণ', 'অস্মিতাপূর্ণ', 'আত্মকেন্দ্রি', 'আত্মশ্লাঘাপূর্ণ', 'আত্মকেন্দ্রী', 'আত্মনিবিষ্ট']"
19712,"['অহং', 'আমি', 'আত্মা']"
19713,['ডিমের খোসা']
19714,['বেগুন']
19715,"['ঘ্যাম লোক', 'মাথাওয়ালা লোক', 'পণ্ডিত', 'বুদ্ধিজীবী ব্যক্তি', 'অতিশয় পাণ্ডিত্যাভিমানী ব্যক্তি', 'অতিশয় মেধা-প্রধান ব্যক্তি']"
19716,"['প্ররোচিত করা', 'উত্তেজিত করা', 'উত্সাহিত করা', 'ডিম', 'ডিম্ব', 'অণ্ড', 'আণ্ড', 'ডিম্বাকার কোন বস্তু', 'বোমা']"
19717,['সমানাধিকারবাদ']
19718,"['সমমাত্রিক', 'সমান', 'সমানাধিকারী']"
19719,"['উদাহরণস্বরূপ', 'দৃষ্টান্তস্বরুপ', 'নিদর্শনস্বরুপ']"
19720,[]
19721,[]
19722,"['নির্গমনশীল', 'অগ্ন্যুদ্গীরক', 'প্রবলভাবে আবেগপ্রকাশক']"
19723,['অনায়াসে']
19724,"['অনায়াস', 'উদ্যমবিহীন', 'উদাস', 'নিশ্চেষ্ট', 'অযত্নশীল', 'অচেষ্ট', 'নিরূদ্যম']"
19725,"['প্রচেষ্টা', 'চেষ্টা', 'প্রয়াস', 'বলপ্রয়োগ', 'শক্তিপ্রয়োগ', 'কঠোর প্রচেষ্টা', 'চেষ্টা-প্রচেষ্টা', 'যত্ন', 'উদ্যোগ', 'উদ্যম', 'আয়াস', 'প্রোত্সাহ', 'আকিঁচন', 'অনুবন্ধ', 'কসরত', 'খাটুনি', 'প্রযত্ন']"
19726,"['প্রতিকৃতি', 'প্রতিমূর্তি', 'পুত্তলি']"
19727,[]
19728,"['দক্ষ', 'কার্যকর', 'ক্রিয়াশীল', 'ফলপ্রদ', 'করিতকর্মা', 'কার্যক্ষম', 'কর্মী', 'সক্ষম', 'যোগ্য', 'পটু', 'কর্মদক্ষ', 'কেজো']"
19729,"['দক্ষতা', 'কার্যকারিতা', 'সক্ষমতা', 'ফলপ্রদতা', 'কার্যকরতা', 'ত্তস্তাদি', 'নৈপুণ্য', 'যোগ্যতা', 'পটুতা', 'কেরামত', 'কেরামতি', 'অভীষ্টফলদান']"
19730,['বুদ্বুদপূর্ণ']
