,banglaenglishmixed
2309,পক্ষপাতদুষ্ট
2310,পক্ষপাত
2311,ছাড়াইয়া
2312,মুগ্ধকর
2313,বিহ্বলতা
2314,বুদ্ধিভ্রংশজনক
2315,বুদ্ধিভ্রষ্ট
2316,হুঁশিয়ার
2317,পানীয়
2318,বেভেলড
2319,মধ্যে
2320,অপেক্ষাকৃত সঙ্গতিসম্পন্ন
2321,উন্নতি
2322,উত্তম
2323,বিশ্বাসঘাতকতা
2324,বিশ্বাসঘাতকতা করা
2325,বাজি
2326,সেরা - সেলিং
2327,জনপ্রি় বই
2328,দান করা
2329,নিতবর
2330,পাশবিকতা
2331,পাশব
2332,সেরা
2333,অবরোধ করা
2334,তদ্ব্যতীত
2335,কাছে
2336,বেষ্টন করা
2337,নোঙ্গরস্থান
2338,পাগল
2339,বেরি
2340,টুপিবিশেষ
2341,প্রি়জন-নিয়োগবিধুর
2342,আত্মীয়ের মৃতু্য
2343,প্রি়জন-নিয়োগবিধুর
2344,চোপা করা
2345,অর্পিত দায়িত্ব
2346,ভারার্পণ করা
2347,নমিত
2348,সদাশয়
2349,হিতৈষী
2350,দয়াশীলতা
2351,সুবিধা
2352,দানগ্রাহী
2353,উপকারী
2354,হিতকারী
2355,আশীর্বচন
2356,তলদেশে
2357,মোড়
2358,বেঞ্চমার্ক
2359,ন্যায়াসন
2360,বিমূঢ়
2361,Beltway
2362,বেল্ট
2363,নিচে
2364,দয়িত
2365,জিনিসপত্র
2366,অন্তর্গত
2367,bellybutton
2368,উদর
2369,ঘণ্টা মরিচ
2370,নর্দন
2371,যুদ্ধের অবস্থা
2372,ঘণ্টা - bottoms
2373,ঘণ্টা
2374,তুচ্ছতাচ্ছিল্য করা
2375,বিশ্বাসী
2376,বিশ্বাস করা
2377,বিশ্বাস্য
2378,বিশ্বাস
2379,আশানুরূপ
2380,উদ্গিরণ
2381,belatedly
2382,অন্ধকারের মুখে পতিত
2383,সত্তা
2384,ধূসরবর্ণ পশমি বস্ত্রবিশেষ
2385,দর্শক
2386,দেখ দেখ
2387,পিছনে
2388,কতল করা
2389,আচরণ
2390,আচরণ করা
2391,পক্ষ
2392,প্রক্রান্ত
2393,বিভ্রান্ত করা
2394,রূষ্ট হত্তয়া
2395,শুরু
2396,শিক্ষানবিস
2397,আরম্ভ করা
2398,ভিক্ষুক
2399,শুরু
2400,প্রার্থনা করা
2401,বন্ধুত্ব স্থাপন করা
2402,নির্দিষ্ট সময়ের পূর্বেই
2403,আগে
2404,befitting
2405,শোভন হত্তয়া
2406,befell
2407,befallen
2408,ঘটা
2409,পোকা
2410,বীট গাছ
2411,মোম
2412,বিয়ার
2413,সিগন্যালম্যান
2414,হুইসেল
2415,হয়েছে
2416,সরল রেখা
2417,মৌচাক
2418,নিরেট
2419,গরুর মাংস
2420,বীচবৃক্ষসংক্রান্ত
2421,মৌমাছি
2422,শয়নকাল
2423,শয্যাচ্ছাদনী
2424,bedside
2425,শয়নকক্ষ
2426,শয্যাশায়ী
2427,bedraggled
2428,রূগ্ণ ব্যক্তিদিগের জন্য শয্যায় মলত্যাগের পাত্রবিশেষ
2429,পাগলা গারদ
2430,বিছানাপত্র
2431,শয্যোপকরণ
2432,ছারপোকা
2433,বেড এন্ড ব্রেকফাস্ট
2434,বিছানা
2435,মানানসই
2436,হয়ে
2437,ইশারা করা
2438,এর কারণ
2439,কারণ
2440,ওঠে
2441,Bebop
2442,বীবর
2443,কেতাদোরস্ত প্রসাধনের ত্ত অঙ্গসজ্জার দোকান
2444,সৌন্দর্য
2445,সুন্দর
2446,সুন্দর
2447,প্রসাধনীয় থলি
2448,প্রহার
2449,আঘাতকারী
2450,প্রহৃত
2451,বীট
2452,জন্তু
2453,ভালুক বাজারে
2454,জন্মদান
2455,বাহক
2456,শ্মশ্রুধারী
2457,দাড়ি
2458,সহনীয়
2459,ভালুক
2460,শিম
2461,মরীচি
2462,পানপাত্র
2463,ঠোঁট
2464,গুপ্তচর
2465,গুটিকাসদৃশ
2466,গুটিকা
2467,বাতিঘর
2468,সৈকত বল
2469,সৈকত
2470,থাকা
2471,বি.সি.
2472,JadurKathi.com বাংলাদেশের
2473,কাটরা
2474,ঘুলঘুলি
2475,Bayou
2476,সঙ্গিন
2477,উপসাগর
2478,চিত্কার
2479,অশ্লীল
2480,রণতরী
2481,যুদ্ধক্ষেত্র
2482,যুদ্ধক্ষেত্র
2483,যুদ্ধ
2484,ব্যাটারি
2485,ক্ষত
2486,পিটা
2487,ব্যাটেলিয়ন
2488,রূল
2489,ব্যাট Mitzvah
2490,বাথটব
2491,পায়খানা
2492,bathrobe
2493,স্নান মামলা
2494,স্নান
2495,স্নান
2496,bated
2497,ব্যাচ
2498,বাদুড়
2499,জারজ
2500,কাঠের বান্শিবিশেষ
2501,bassist
2502,খাদ গিটার
2503,খাদ
2504,বাস্কেট কেস
2505,বাস্কেটবল
2506,ঝুড়ি
2507,পোয়ানো
2508,ভিত্তি
2509,গামলা
2510,মূলসূত্র
2511,মূলত
2512,মৌলিক
2513,bashing
2514,লাজুক
2515,সজোরে আঘাত
2516,ঘাঁটি
2517,বুনিয়াদ
2518,বেসবল
2519,ভিত্তি
2520,বিনিময়
2521,মদের দোকানের পরিবেষক
2522,barroom
2523,Barrio
2524,ছাড়া
2525,বাধা
2526,ব্যারিকেড
2527,অনুর্বর
2528,পিপা
2529,বাঁধ
2530,ব্যারাকে
2531,ব্যারন
2532,আবহমানসংক্রান্ত
2533,আবহমানযন্ত্র
2534,barnyard
2535,রাজহংসবিশেষ
2536,শস্যাগার
2537,বার Mitzvah
2538,যব
2539,বাকল
2540,ব্যারিটন
2541,বজরা
2542,কারবারী চিপ
2543,ক্রয়বিক্রয়
2544,Barf
2545,সবে
2546,নগ্নপদে
2547,বেয়ার হাড়
2548,খালি
2549,বার কোড
2550,নিদ্রা-উদ্রেককর ঔষধবিশেষ
2551,নাপিত
2552,বারবেল
2553,কাঁটাতার
2554,কাবাব
2555,বর্বরতা
2556,আদিম
2557,অসভ্য
2558,বার
2559,খ্রীষ্টধর্মে দীক্ষা দেত্তয়া
2560,অভিসিঁচনকারী
2561,পবিত্র অভিসিঁচনসংক্রান্ত
2562,যুদ্ধের অভিজ্ঞতা
2563,পরিহাস
2564,ভোজ
2565,নিশান
2566,দেউলিয়া
2567,দেউলিয়া
2568,ব্যাংকিং
2569,মহাজন
2570,ব্যাংক
2571,তারের বাদ্যযন্ত্রবিশেষ
2572,ক্ষুদ্র স্তম্ভ
2573,খেদান
2574,চৌকো করে কাটা
2575,বালা
2576,ঠুং
2577,সর্বনাশ
2578,হকিখেলা
2579,জনপ্রি়তার গাড়ি
2580,ঐকতানবাদের জন্য স্থায়ী মঁচ
2581,ডাকাত
2582,রূমালবিশেষ
2583,ব্যান্ড - এইড
2584,ব্যাণ্ডেজ
2585,দল
2586,কলা
2587,তুচ্ছতা
2588,গতানুগতিক
2589,নিষেধাজ্ঞা
2590,বোকা বানান
2591,বাঁশ
2592,বাজে কথা
2593,প্রশমনকারী
2594,সুগন্ধ পদার্থ
2595,বাজে কথা
2596,নৃত্যশালা
2597,কলম
2598,ballpark
2599,ভোটপত্র
2600,বেলুন
2601,নিক্ষিপ্ত অস্ত্রাদি-সংক্রান্ত বিদ্যা
2602,ক্ষেপণাস্ত্র সম্পর্কীয়
2603,কার্যক্ষেত্র
2604,ব্যালে
2605,নর্তকী
2606,গাথা
2607,বল
2608,কড়িকাঠ
2609,বিপর্যয়কর
2610,অনিষ্ট
2611,balding
2612,পালকহীন ঈগল
2613,পালকহীন
2614,অলিন্দ
2615,নিকাশ
2616,ক্ষমতার ভারসাম্য
2617,সুষম
2618,ভারসাম্য
2619,বেকারি
2620,রূটিত্তয়ালা
2621,সেকা
2622,টোপ
2623,সাধ্যপাল
2624,জামিন
2625,bagpipes
2626,ব্যাগ ভদ্রমহিলা
2627,বেঢপ
2628,পোঁটলা
2629,bagel
2630,ব্যাগ
2631,বিভ্রান্তিকর
2632,Baffled
2633,কিংকর্তব্যবিমূঢ় করা
2634,কলঙ্কিত করা
2635,ব্যাডমিন্টন
2636,খারাপভাবে
2637,কটুকাটব্য
2638,অনুর্বর জমি
2639,ব্যাজার
2640,ব্যাজ
2641,Bade
2642,খারাপ
2643,ব্যাকটেরিয়া
2644,বেকন
2645,বাড়ির পিছনের দিকের উঠোন
2646,গ্রামের প্রান্তস্থিত বন
2647,পিছে
2648,অনগ্রসর
2649,ব্যাকআপ
2650,প্রত্যাখ্যান করা
2651,চিত্সাঁতার
2652,গোপনে
2653,পাছ
2654,নিম্নস্থান
2655,Backpacker
2656,ব্যাকপ্যাক
2657,জমা কাজ
2658,নেতিবাচক প্রতিক্রিয়া
2659,সমর্থন
2660,প্যাঁচালো
2661,backhand
2662,পটভূমি
2663,ব্যাকগ্যামন
2664,বিপর্যয় ঘটা
2665,সমর্থক
2666,পরিপ্রেক্ষিত
2667,backbreaking
2668,দাঁড়া
2669,পিছনে
2670,কুমার
2671,ঠিকা ছেলে-ধরনি
2672,babysit
2673,babysat
2674,ঠেলাগাড়ি
2675,শিশুর ক্যাঙ্গারুর নর
2676,শিশুর গম্ভীর গর্জন
2677,বাচ্চা
2678,বানরজাতীয় প্রাণিবিশেষ
2679,খোকামনি
2680,কলধ্বনি
2681,ছাগলের ডাক
2682,বিএ
2683,প্রত্যক্ষ সাক্ষী
2684,চক্ষুশূল
2685,দৃষ্টিশক্তি
2686,চোখের ছায়া
2687,চোখ খুলে
2688,eyeliner
2689,নেত্রপল্লব
2690,পক্ষ্ম
2691,চশমা
2692,আকর্ষণীয়
2693,ভুরু
2694,অক্ষিগোলক
2695,চোখ
2696,উল্লাস
2697,উল্লসিত
2698,অতিশয় আনন্দ করা
2699,ঝরান
2700,উচ্ছ্বাসিত
2701,উদ্দীপনা
2702,extroverted
2703,বহির্মুখ
2704,মুক্ত করা
2705,প্রান্তসীমা
2706,পা
2707,চরমপন্থী
2708,চরমপন্থা
2709,অত্যন্ত
2710,চরম
2711,extravagantly
2712,অসংযত
2713,অপচয়
2714,extraterrestrial
2715,পূর্বেই দেখা
2716,অসাধারণ
2717,খুব
2718,পরক
2719,বহি: সমর্পন
2720,যোগ্য কর্তৃপক্ষ হস্তে সমর্পন করা
2721,নিয়মিত পাঠক্রম বহির্ভূত
2722,নিষ্কাশন
2723,সার
2724,অতিরিক্ত
2725,অত্যাচারী
2726,বলপ্রয়োগ আদায় করা
2727,দোহন
2728,উচ্চপ্রশংসা করা
2729,নির্বাপক
2730,নিভান
2731,বিলোপ
2732,লুপ্ত
2733,বহিরাগত
2734,উন্মুলয়িতা
2735,উন্মূলন
2736,উপড়াইয়া ফেলা
2737,বহি
2738,ব্যাপ্তি
2739,ব্যাপকভাবে
2740,ব্যাপক
2741,প্রসার
2742,বর্ধিত পরিবার
2743,প্রসারিত করা
2744,অনিয়মিত
2745,অত্যন্ত সুন্দরভাবে
2746,সূক্ষ্ম
2747,নির্বাসন
2748,বাজেয়াপ্তকরণ
2749,দখলচু্যত করা
2750,মোটর রাজপথ
2751,স্পষ্টভাবে
2752,expressively
2753,ভাবপূর্ণ
2754,অভিব্যক্তি
2755,দ্রুতগামী
2756,প্রকাশ
2757,উদ্ভাস
2758,উদ্ভাসিত
2759,খুলা
2760,রপ্তানিকারক
2761,রপ্তানিকরণ
2762,রপ্তানি
2763,সূচক
2764,উত্পন্ন দ্রব্যাদির আন্তর্জাতিক প্রদর্শনী
2765,বিস্ফোরক
2766,বিস্ফোরণ
2767,অনুসন্ধানকারী
2768,অন্বেষণ করা
2769,অনুসন্ধানাত্মক
2770,অনুসন্ধান
2771,শোষণ
2772,কাজে লাগান
2773,বিস্ফোরিত করা
2774,স্পষ্টভাবে
2775,স্পষ্ট
2776,কহতব্য
2777,অনুপূরক
2778,ব্যাখ্যামূলক
2779,ব্যাখ্যা
2780,ব্যাখ্যা করা
2781,মেয়াদ শেষ
2782,মেয়াদ শেষের তারিখ
2783,মৃতু্য
2784,expertly
2785,অভিজ্ঞতা
2786,বিশেষজ্ঞ
2787,পরীক্ষা
2788,পরীক্ষামূলকভাবে
2789,পরীক্ষামূলক
2790,পরীক্ষা
2791,অভিজ্ঞ
2792,অভিজ্ঞতা
2793,expensively
2794,ব্যয়বহুল
2795,খরচ
2796,ব্যয় অ্যাকাউন্ট
2797,ব্যয়
2798,ব্যয়
2799,ব্যয় করা যয় এমন
2800,ব্যয় করা
2801,বিতাড়িত করা
2802,অভিযান
2803,সুবিধাযুক্ত
2804,সমীচীন
2805,যুক্তিযুক্ততা
2806,প্রত্যাশা
2807,হাসে
2808,প্রত্যাশী
2809,প্রত্যাশা
2810,আশা করা
2811,নির্বাসিত ব্যক্তি
2812,অকপট
2813,সম্প্রসারণবাদী
2814,সম্প্রসারণ
2815,বিস্তৃতি
2816,সম্প্রসারিত
2817,বিস্তৃত করা
2818,বহিরাগত
2819,ভূতের রাজা
2820,গুণ
2821,গলাকাটা
2822,ক্ষালন
2823,ক্ষালন করা
2824,প্রস্থান
2825,প্রস্থান ঢালু
2826,প্রস্থান পোল
2827,প্রস্থান
2828,বিদ্যমান
2829,অস্তিত্ব
2830,উপস্থিত থাকা
2831,নির্বাসন
2832,কবর হতে তোলা
2833,প্রকাশ করা
2834,পরামর্শ
2835,উত্সাহিত করা
2836,উল্লাস
2837,উল্লাসজনক
2838,প্রাণবন্ত করা
2839,প্রদর্শক
2840,exhibitionist
2841,অঙ্গের অশোভনীয় অনাবৃত অবস্থা
2842,প্রদর্শনী খেলা
2843,প্রদর্শনী
2844,প্রদর্শক
2845,exhaustively
2846,সম্পূর্ণ
2847,অবসাদ
2848,ক্লান্তিকর
2849,ক্লান্ত
2850,এক্সস্ট
2851,বাষ্পীভূত করা
2852,উদ্যম
2853,জাহির করা
2854,ব্যায়াম
2855,রেহাই
2856,অব্যাহতিপ্রাপ্ত
2857,উদাহরণ দ্বারা ব্যাখ্যা করা
2858,অনুকরণীয়
2859,নির্বাহক
2860,কার্যনির্বাহী
2861,জল্লাদ
2862,ফাঁসি
2863,নির্বাহ করা
2864,Exec
2865,ক্ষমা
2866,মার্জনীয়
2867,ভ্রমণ
2868,excruciatingly
2869,মর্মযন্ত্রণাপূর্ণ
2870,নাদা
2871,বিষ্ঠা
2872,লেজার নির্দেশক
2873,সমাজচু্যত করা
2874,কেবলমাত্র
2875,একচেটিয়া
2876,বর্জন
2877,অপসারণ
2878,বহিষ্কৃত করা
2879,বিস্ময়বোধক বিন্দু
2880,উচ্চ শব্দ
2881,চীত্কার করা
2882,উত্তেজনাপূর্ণ
2883,উত্তেজনা
2884,ব্যস্ততাসহকারে
2885,অধীর
2886,জাগান
2887,উত্তেজনক্ষম
2888,ছেদন
2889,আবগারি
2890,বিনিময় হার
2891,বিনিময়
2892,বেজায়
2893,অত্যধিক
2894,বাহুল্যও
2895,বাড়তি
2896,উদ্ধৃতাংশ
2897,অত্যন্ত
2898,ব্যতিক্রমী
2899,ব্যতিক্রম
2900,ছাড়া
2901,চমত্কার
2902,সম্যক্
2903,সীমা অতিক্রম করা
2904,শ্রেষ্ঠত্ব
2905,অতীব
2906,অতিক্রম করা
2907,খনন
2908,খুঁড়া
2909,উত্তেজনা
2910,অতিশয় বিরক্তিকর
2911,exasperated
2912,ক্রুদ্ধ করা
2913,উদাহরণ
2914,পরীক্ষক
2915,পরীক্ষা করা
2916,পরীক্ষা
2917,পরীক্ষা
2918,উল্লাস
2919,মহিমান্বিত করা
2920,রঙ
2921,ফলাও
2922,ফলান
2923,ঠিক
2924,ছিদ্রান্বেষী
2925,সঠিক
2926,বর্ধিত করা
2927,অপ
2928,ভেড়ী
2929,গজান
2930,অভিব্যক্তিমূলক
2931,বিবর্তন
2932,আহ্বান করা
2933,শিল্পানুগ
2934,মন্দ
2935,স্পষ্টরূপে
2936,স্পষ্ট
2937,প্রমাণ
2938,উচ্ছেদ
2939,উচ্ছেদ করা
2940,সর্বত্র
2941,সব
2942,everyplace
2943,সবাই
2944,দৈনন্দিন
2945,সবাই
2946,প্রতি
2947,সতত
2948,অনন্ত
2949,চিরহরিৎ
2950,নিত্য
2951,অবশেষে
2952,পরিণাম
2953,পরিণামস্বরূপ
2954,ঘটনাবহুল
2955,ঘটনা
2956,evenness
2957,সমান
2958,সন্ধ্যায়
2959,সন্ধ্যা
2960,evenhanded
2961,এমন কি
2962,ইভ
2963,অসরল
2964,ছল
2965,বাষ্পীভবন
2966,উবা
2967,ধর্মপ্রচারক
2968,ধর্মপ্রচার
2969,খ্রীষ্টীয় ঘটিত
2970,মূল্যায়ন
2971,সংখ্যা নির্ণয় করা
2972,টালা
2973,উদ্বাস্তু
2974,উদ্বাসন
2975,পায়খানা করা
2976,আরামের মরণ
2977,ইউরোপীয়
2978,ইউরোপ
2979,euphoric
2980,রমরমা
2981,euphemistically
2982,euphemistic
2983,euphemism
2984,নপুংসক
2985,বাখান
2986,স্তুতি করা
2987,ব্যাকরণ
2988,শিষ্টাচার
2989,জাতিগত
2990,নীতিশাস্ত্র
2991,নীতিগত
2992,নৈতিক
2993,নৈতিক
2994,গগনচারী
2995,থার
2996,অনন্তকাল
2997,eternally
2998,অনন্ত
2999,খোদাই করা
3000,প্রভৃতি
3001,এট আল.
3002,মোহনা
3003,ইস্ট্রজেন
3004,বিরোধ
3005,বিছিন্ন
3006,প্রাক্কলন
3007,আনুমানিক
3008,হিসাব
3009,শ্রদ্ধেয়
3010,esthetically
3011,সৌন্দর্যবোধবিশিষ্ট
3012,উচ্চমূল্য
3013,স্টেট
3014,সংস্থাপন
3015,স্থাপন করা
3016,মূলত
3017,অপরিহার্য
3018,সারাংশ
3019,প্রবন্ধ
3020,এসপ্রেসো
3021,বিবাহ করা
3022,গুপ্তচরবৃত্তি
3023,বিশেষত
3024,ESP .
3025,ESP
3026,গূঢ়
3027,অন্ননালী
3028,ইএসএল
3029,এস্কিমো
3030,সহচর
3031,পরিহার করা
3032,পলায়নী প্রবৃত্তিপূর্ণ
3033,পলায়নী প্রবৃত্তি
3034,পলান
3035,অব্যাহতি
3036,পলায়ন
3037,চলন্ত সিঁড়ি
3038,তীব্রতাবৃদ্ধি
3039,ধাপে ধাপে বৃদ্ধি করা
3040,অগ্ন্যুত্পাত
3041,বিস্ফোরণ হত্তয়া
3042,বিদ্যা
3043,জ্ঞানী
3044,ভুল
3045,ভ্রান্ত
3046,ভ্রান্তভাবে
3047,erratically
3048,অনিশ্চিত
3049,ভ্রমণরত
3050,প্রেরিত বার্তা
3051,ভুল করা
3052,eroticism
3053,erotically
3054,প্রেমমূলক
3055,ক্ষয়
3056,ক্ষয় করা
3057,ইমারত
3058,খাড়া
3059,রবার
3060,নিশ্চিহ্ন করা
3061,উচ্ছেদ
3062,সমূলে উত্পাটন করা
3063,যুগ
3064,ইআর
3065,সন্দেহজনক
3066,সমতুল্য
3067,সমানতা
3068,ইকুইটি
3069,ন্যায়সঙ্গত
3070,সজ্জিত
3071,উপকরণ
3072,প্রস্তুত করা
3073,বিষুব
3074,অশ্বতুল্য
3075,সুস্থিতি
3076,সমবাহু
3077,অশ্বারূঢ়
3078,নিরক্ষীয়
3079,বিষুবরেখা
3080,সমীকরণ
3081,সমীকরণ করা
3082,মনের সমতা
3083,সমান চিহ্ন
3084,সমানভাবে
3085,সমান করা
3086,সমতা
3087,সমান
3088,কাল
3089,চুম্বক করা
3090,সংক্ষিপ্তসার
3091,বিশেষণ
3092,সমাধিস্তম্ভ-লিপি
3093,পত্র
3094,অনিয়মিত
3095,উপাখ্যান
3096,বিশপ-সংক্রান্ত
3097,এপিসকোপাল চার্চ
3098,পরিশেষ
3099,মৃগীরোগী
3100,মৃগীরোগ
3101,শ্লেষ
3102,মহামারী
3103,উপকেন্দ্র
3104,মহাকাব্য
3105,ক্ষণজীবী
3106,সৈন্যদের স্কন্ধোপরিস্থ বিহ্ন
3107,উত্সেচক
3108,দ্বেষ
3109,দূত
3110,কল্পনা করা
3111,বিবেচনা
3112,শহরতলি
3113,পরিবেশ
3114,পরিবেশবিদ
3115,পরিবেশগত
3116,পরিবেশ
3117,enviously
3118,পরশ্রীকাতর
3119,বাঁছনীয়
3120,খাম
3121,মোড়া
3122,উক্তি
3123,বিবৃত করা
3124,গনা
3125,বয়ন করা
3126,entryway
3127,এন্ট্রি - স্তরের
3128,প্রবেশ
3129,বিশ্বাস স্থাপন করা
3130,উদ্যোক্তা
3131,ব্যবসায়ে ঝুঁকিদার
3132,প্রবেশাধিকার
3133,অনুরোধ
3134,অনুনয় করা
3135,entrapment
3136,ফাঁদে ধরা
3137,প্রবেশক
3138,প্রবেশদ্বার ঢালু
3139,প্রবেশদ্বার
3140,অন্ত্র
3141,পরিপার্শ্ব
3142,পতঙ্গবিজ্ঞান
3143,পতঙ্গবিজ্ঞানী
3144,সত্তা
3145,এনটাইটেলমেন্টের
3146,স্বত্ববান
3147,আখ্যাত করা
3148,সম্পূর্ণতা
3149,সম্পূর্ণরূপে
3150,সমগ্র
3151,enticing
3152,প্রলোভন
3153,প্রলুব্ধ করা
3154,উৎসাহের
3155,উত্সাহী
3156,কৌতূহলী ব্যক্তি
3157,উদ্যম
3158,উদ্যমী করান
3159,enthralling
3160,দাসত্বে আবদ্ধ করা
3161,বিনোদন
3162,রসাল
3163,বিনোদনকারী
3164,পোষণ করা
3165,উচ্চাভিলাষী
3166,উদ্যোগ
3167,প্রবেশ করান
3168,জড়াইয়া পড়া
3169,বিজড়িত
3170,বিপর্যস্ত করা
3171,ফলস্বরূপ ঘটা
3172,নিশ্চিত করা
3173,আসন্ন
3174,ঘটা
3175,পতাকাবাহী
3176,মন্দিরমধ্যে রক্ষা করা
3177,আঁসাঁব্ল
3178,দৃঢ়ভাবে প্রতিষ্ঠিত করা
3179,যাইবার পথে
3180,নিয়োগ
3181,নথিভুক্ত করা
3182,সমৃদ্ধি
3183,সমৃদ্ধ করা
3184,খাপ্পা
3185,যথেষ্ট
3186,পাগল করা
3187,বৃহদাকার
3188,বিশালতা
3189,অতিশয়
3190,শত্রুতা
3191,সার্বজনীনভাবে
3192,উদ্দীপ্ত করা
3193,তালিকাভুক্তি
3194,পক্ষভুক্ত করা
3195,জ্ঞানগর্ভ
3196,আলোকিত
3197,জ্বালান
3198,পরিবর্ধন
3199,সম্প্রসারিত করা
3200,রমণ
3201,উপভোগ্য
3202,ভোগ
3203,হেঁয়ালিপূর্ণ
3204,হেঁয়ালি
3205,বৃদ্ধি
3206,উন্নত করা
3207,ভরা
3208,চিত্তাকর্ষক
3209,নিমজ্জিত
3210,খোদাই
3211,খুদা
3212,ইংরেজি
3213,প্রকৌশল
3214,প্রকৌশলী
3215,ইঞ্জিন
3216,প্রসব করা
3217,আকর্ষক
3218,বাগ্দানের নিদর্শনস্বরূপ আংটি
3219,প্রবৃত্তি
3220,জড়িত
3221,চুক্তিবদ্ধ করান
3222,স্বাধীনতা দেত্তয়া
3223,বলবত্করণ
3224,শক্য
3225,জোরদার করা
3226,শক্তি
3227,প্রবলভাবে সক্রিয় করা
3228,শক্তি
3229,জীবন্তভাবে
3230,অনলস
3231,শত্রু
3232,শেষ জোন
3233,স্থায়ী
3234,সহ্য করা
3235,সহনশীলতা
3236,বৃত্তিদান
3237,বুদ্ধি দ্বারা অলঙ্কৃত করা
3238,পৃষ্ঠাঙ্কন
3239,অনুমোদন করা
3240,endlessly
3241,অবিরাম
3242,endive
3243,শেষ
3244,স্থানীয়
3245,উপক্রম
3246,আদর
3247,স্নেহসঞ্চারক
3248,আদরণীয় করা
3249,বিপন্ন প্রজাতি
3250,বিপন্ন
3251,বিপন্ন করা
3252,শেষ
3253,বিশ্বকোষ
3254,বোঝা
3255,ব্যাহত করা
3256,সীমালঙ্ঘন করা
3257,উত্তেজক
3258,অনুপ্রেরণা
3259,উত্সাহিত করা
3260,সাক্ষাৎ
3261,আর একবার
3262,পরিবেষ্টন করা
3263,ঘের
3264,ঘিরা
3265,ছিটমহল
3266,পরিবেষ্টন করা
3267,enchilada
3268,মোহন
3269,মায়াময়
3270,বাঁধা
3271,প্রেমমুগ্ধ
3272,কলাই
3273,সক্রিয়
3274,বিহিত করা
3275,অনুকরণ করা
3276,খালিহাতে
3277,খালি
3278,শূন্যতা
3279,রাজরাজেশ্বরী
3280,ক্ষমতায়ন
3281,ক্ষমতাপ্রদান করা
3282,বড়বাজার
3283,কর্মসংস্থান সংস্থা
3284,চাকরি
3285,নিয়োগকর্তা
3286,কর্মচারী
3287,চাকরী
3288,গবেষণামূলক
3289,সাম্রাজ্য
3290,এমফিসেমা
3291,সজোরে
3292,সতেজ
3293,গুরুত্ব আরোপ করা
3294,জোর
3295,emphases
3296,সম্রাট
3297,সহানুভূতি
3298,empathize
3299,আবেগপ্রবণ
3300,আবেগের
3301,আবেগপ্রবণ
3302,আবেগ
3303,এমি
3304,প্রেরণ করা
3305,নির্গমন
3306,গুপ্তচর
3307,আমিরশাহী
3308,আমির
3309,মাত্রাতিরিক্তভাবে
3310,বিশিষ্ট
3311,প্রবাস
3312,বাসস্থান বদলান
3313,দেশান্তরী
3314,শিরিস বোর্ড
3315,এমেরিটাস
3316,উত্থানশীল
3317,আপত্কালীন কক্ষ
3318,ইমার্জেন্সি ব্রেক
3319,জরুরি অবস্থা
3320,উত্থান
3321,নিষ্ক্রমণ করা
3322,পান্না
3323,emcee
3324,আদিম
3325,ভ্রূণ
3326,ঝামেলায় জড়ান
3327,সূচিকর্ম
3328,অলঙ্কৃত করা
3329,আলিঙ্গন
3330,এমবসড
3331,খোদাই করা
3332,মূর্ত করা
3333,প্রতিমূর্তি
3334,প্রতীক
3335,উত্সব করা
3336,embittered
3337,তিক্ত করা
3338,embezzler
3339,আত্মসাৎ
3340,আত্মসাৎ করা
3341,জ্বলন্ত অঙ্গার
3342,ভূষণ
3343,অলঙ্কৃত করা
3344,শোয়ান
3345,embattled
3346,দূতাবাস
3347,বিমূঢ়তা
3348,embarrassingly
3349,হতবুদ্ধিকর
3350,অপ্রস্তুত
3351,বিব্রত করা
3352,পোতারূঢ করা
3353,নিষেধাজ্ঞা
3354,বাঁধ
3355,সুবাসিত করা
3356,বন্ধনমুক্তি
3357,emancipated
3358,মুক্ত করা
3359,নি: সৃত হত্তয়া
3360,ই - মেইল
3361,কৃশ
3362,' ই.এম.
3363,পরী
3364,অধরা
3365,পালান
3366,স্পষ্ট করা
3367,অন্যত্র
3368,অন্যথায়
3369,eloquently
3370,বলিয়ে
3371,বাগ্মিতা
3372,গোপনে পলায়ন
3373,গোপনে পলায়ন করা
3374,দীর্ঘায়ত
3375,সম্প্রসারিত
3376,বেদারুজাতীয় বৃক্ষবিশেষ
3377,উপবৃত্তাকার
3378,হরিণবিশেষ
3379,অভিজাত
3380,elitism
3381,সেরা অংশ
3382,বর্জন
3383,নিষ্কাশন করা
3384,উপযুক্ত
3385,বাঁছনীয়তা
3386,প্রকাশ করা
3387,বামন
3388,পরী
3389,একাদশ
3390,এগার
3391,লিফট
3392,টিলা
3393,চড়ান
3394,হাতি
3395,উপাদান
3396,প্রাথমিক স্কুল
3397,প্রাথমিক
3398,আধিভৌতিক
3399,উপাদান
3400,বিষাদসঙ্গীত
3401,elegantly
3402,মার্জিত
3403,কমনীয়তা
3404,ইলেকট্রনিক্স
3405,ইলেকট্রনিক মেইল
3406,বৈদ্যুতিন
3407,বৈদ্যুতিন
3408,ইলেক্ট্রন
3409,তড়িদ্বিশ্লেষণ
3410,বিদ্যুদ্বাহক
3411,তড়িতাহত
3412,তড়িত
3413,বৈদ্যুত্
3414,বৈদ্যুতীকরণ করা
3415,বৈদ্যুতিক শক
3416,বৈদ্যুতিক ক্ষুর
3417,বিদ্যুৎ
3418,তাড়িতী
3419,বৈদ্যুতিক চেয়ার
3420,বৈদ্যুতিক
